Epoch,Train Loss,Val Loss,Val MAE
1,1273.8077642476885,99.45868213891983,8.675469856262207
2,55.36894830100161,48.16093004811555,5.641450576782226
3,49.88238016980468,36.75218535345048,4.5331989288330075
4,42.45124326030879,45.14196904093027,5.464044380187988
5,34.925651636110466,50.05384693980217,5.979304504394531
6,26.848587206037095,33.872903078123926,4.62155776977539
7,19.32101772898653,43.43355308644473,5.0161942291259765
8,12.550379235774745,32.7554253166914,4.47836368560791
9,7.369610260802437,25.903966500014068,3.799173984527588
10,5.443734104192117,26.385901290476323,4.1779783248901365
11,4.4846228025911845,26.57551150493324,3.895167579650879
12,3.453398779760755,20.729224597085267,3.4131281661987303
13,3.5450803571463134,19.133272402579895,3.394697723388672
14,2.9865187080344184,19.573291869089008,3.4079240798950194
15,3.052951837067182,20.586707060039043,3.465632095336914
16,2.783593113202369,22.917107774410397,3.5493860626220703
17,1.9684269520124265,21.922234876975416,3.843415451049805
18,2.183187492109331,24.348984958641232,3.735023384094238
19,2.377181103488935,19.338650387898088,3.500296401977539
20,2.8397995860068477,20.92957338925131,3.6639551544189453
21,2.0145685346622484,20.875099165495484,3.374568748474121
22,2.98719290701168,22.55318241264671,3.7445824050903322
23,2.5114536824868994,22.83449153158814,3.8609832763671874
24,1.7911378172750119,22.69788473043591,3.7522511672973633
